,description,id,match,name,score,type,input_value,type_id
545,computer-based information system that dolboeb idi nahui,Q330268,False,decision support system,50.0,[],DSS,
546,,,False,,,,dStruct,
547,thermoanalytic technique that is similar to differential scanning calorimetry,Q905301,False,differential thermal analysis,50.0,[],DTA,
548,"landform, hill of sand",Q25391,False,dune,50.0,[],Dune,
549,,,False,,,,dupRadar,
550,,,False,,,,dyebias,
551,,,False,,,,DynDoc,
552,"learnability and ease-of-use of a helpful tool, system, etc. intended for human use",Q216378,False,usability,23.5,[],easier,
553,,,False,,,,easyreporting,
554,,,False,,,,easyRNASeq,
555,,,False,,,,EBarrays,
556,,,False,,,,EBcoexpress,
557,,,False,,,,EBImage,
558,,,False,,,,EBSEA,
559,,,False,,,,EBSeq,
560,,,False,,,,EBSeqHMM,
561,,,False,,,,ecolitk,
562,,,False,,,,EDASeq,
563,line segment joining two adjacent vertices in a polygon or polytope,Q26382,False,side,50.0,[],edge,
564,R package,Q112236367,False,edgeR package,56.0,R package,edgeR,Q73539779
565,,,False,,,,eegc,
566,,,False,,,,EGAD,
567,,,False,,,,EGSEA,
568,television channel,Q25350698,False,Eir sport,25.0,[],eiR,
569,Segelveranstaltung,Q1310770,False,Eisarsch-Regatta,38.5,[],eisaR,
570,Filipino comic book,Q5366470,False,Elmer,50.0,[],ELMER,
571,,,False,,,,EMDomics,
572,,,False,,,,EmpiricalBrownsMethod,
573,,,False,,,,EnhancedVolcano,
574,,,False,,,,enhancerHomologSearch,
575,,,False,,,,EnMCB,
576,,,False,,,,ENmix,
577,,,False,,,,EnrichedHeatmap,
578,,,False,,,,EnrichmentBrowser,
579,,,False,,,,enrichplot,
580,,,False,,,,enrichTF,
581,,,False,,,,ensembldb,
582,,,False,,,,ensemblVEP,
583,,,False,,,,epialleleR,
584,,,False,,,,EpiCompare,
585,,,False,,,,epidecodeR,
586,,,False,,,,EpiDISH,
587,,,False,,,,epigenomix,
588,,,False,,,,epigraHMM,
589,,,False,,,,epihet,
590,,,False,,,,epimutacions,
591,,,False,,,,epiNEM,
592,,,False,,,,epistack,
593,,,False,,,,EpiTxDb,
594,,,False,,,,epivizr,
595,,,False,,,,epivizrChart,
596,,,False,,,,epivizrData,
597,,,False,,,,epivizrServer,
598,,,False,,,,epivizrStandalone,
599,,,False,,,,erccdashboard,
600,,Q5358300,False,"Electronic Recording Machine, Accounting",50.0,[],erma,
601,,,False,,,,ERSSA,
602,a situation in chess and chess-like games where one piece moves to allow another friendly piece to then attack an enemy piece,Q336720,False,discovered attack,26.5,[],esATAC,
603,act of one or more inmates leaving prison through unofficial or illegal ways,Q598041,False,prison escape,50.0,[],escape,
604,,,False,,,,esetVis,
605,,,False,,,,eudysbiome,
606,,,False,,,,evaluomeR,
607,,,False,,,,EventPointer,
608,,,False,,,,EWCE,
609,,,False,,,,ExCluster,
610,,,False,,,,ExiMiR,
611,,,False,,,,exomeCopy,
612,,,False,,,,exomePeak2,
613,,,False,,,,ExperimentHub,
614,,,False,,,,ExperimentHubData,
615,,,False,,,,ExperimentSubset,
616,,,False,,,,ExploreModelMatrix,
617,,,False,,,,ExpressionAtlas,
618,,,False,,,,extraChIPs,
619,,,False,,,,fabia,
620,,,False,,,,factDesign,
621,,,False,,,,FamAgg,
622,,Q97235995,False,Famatö Harimao,26.5,[],famat,
623,"area of land for farming, or, for aquaculture, lake, river or sea, including various structures",Q131596,False,farm,50.0,[],farms,
624,,,False,,,,fastLiquidAssociation,
625,,,False,,,,FastqCleaner,
626,,,False,,,,fastreeR,
627,,,False,,,,fastseg,
628,macroeconomic concept used in official national accounts,Q994824,False,gross fixed capital formation,50.0,[],FCBF,
629,,Q18661069,False,Olympiafanfaari,10.0,[],fCCAC,
630,,Q5438159,False,overhead power line fault indicator,50.0,[],fCI,
631,,,False,,,,fcoex,
632,,,False,,,,fcScan,
633,,,False,,,,fdrame,
634,festive event centered on a meal,Q15361145,False,eating party,50.0,[],FEAST,
635,,,False,,,,fedup,
636,a farmer or agricultural laborer in the Middle East and North Africa,Q685896,False,fellah,45.5,[],FELLA,
637,,Q20180581,False,formalin-fixed paraffin-embedded tissue,26.5,[],ffpe,
638,,,False,,,,fgga,
639,,,False,,,,FGNet,
640,,,False,,,,fgsea,
641,,,False,,,,FilterFFPE,
642,ancient pin or brooch for securing clothing,Q324926,False,fibula,21.5,[],FindIT2,
643,,,False,,,,FISHalyseR,
644,man-made body of standing water used for pisciculture,Q1265665,False,fish pond,50.0,[],fishpond,
645,,,False,,,,FitHiC,
646,,,False,,,,flagme,
647,,Q18149980,False,Flameskull,37.5,[],FLAMES,
648,,Q56339271,False,Flowair,46.0,[],flowAI,
649,,,False,,,,flowBeads,
650,rotary mechanical device that extracts energy from a fluid flow,Q130760,False,turbine,35.5,[],flowBin,
651,,,False,,,,flowcatchR,
652,,,False,,,,flowCHIC,
653,,Q5064096,False,cerebral blood flow,16.0,[],flowCL,
654,,,False,,,,flowClean,
655,,,False,,,,flowClust,
656,barrier across a river designed to alter its flow characteristics,Q1066997,False,weir,31.0,[],flowCore,
657,type of haircut,Q5485082,False,wings,36.5,[],flowCut,
658,,,False,,,,flowCyBar,
659,"measure of the flow of something through a surface, in some cases per surface area",Q6485344,False,flux,31.0,[],flowDensity,
660,fuel flow restrictor retro-fitted to Merlin engines,Q6877378,False,Miss Shilling's orifice,7.0,[],flowFP,
661,graph in which one vertex has been distinguished as the root,Q7366593,False,rooted graph,47.5,[],flowGraph,
662,mix of maps and flow charts,Q1024820,False,flow map,46.5,[],flowMap,
663,,Q16253886,False,Matched index of refraction flow facility,18.0,[],flowMatch,
664,"type of solderless electrical clamp connection. The connection is ""cold-welded"". This means that metal can flow between the metal conductors and the metal sleeve at the metal joints because of the continued high compression.",Q1470594,False,electrical crimp connection,15.5,[],flowMeans,
665,traffic flow model,Q7017729,False,Newell–Daganzo merge model,17.0,[],flowMerge,
666,reservoir that regulates the flow of water below an intermittently operated hydropower station or peaking power plant,Q778817,False,equalizing basin,16.0,[],flowPeaks,
667,,,False,,,,flowPloidy,
668,,,False,,,,flowPlots,
669,"measure of the flow of something through a surface, in some cases per surface area",Q6485344,False,flux,33.5,[],FlowSOM,
670,category of HTML element,Q94102244,False,flow element,19.0,[],flowSpecs,
671,,,False,,,,flowStats,
672,,Q3746800,False,Flow time,47.0,[],flowTime,
673,,Q12311671,False,Flowtransmitter,37.5,[],flowTrans,
674,kinematic parameter useful to describe rotational properties of fluid flow,Q3097928,False,hydrodynamical helicity,14.5,[],flowUtils,
675,,,False,,,,flowViz,
676,,,False,,,,flowVS,
677,,Q86667716,False,5 koron czechosłowackich,10.5,[],fmcsR,
678,,Q5508831,False,functional magnetic resonance spectroscopy of the brain,50.0,[],fmrs,
679,,,False,,,,fobitools,
680,,Q61069591,False,Földgömb-Atacama Klímamonitoring Expedíció,12.5,[],FoldGO,
681,,,False,,,,FRASER,
682,French fish dish,Q10749957,False,Sole meunière,17.5,[],frenchFISH,
683,,,False,,,,FRGEpistasis,
684,"in association football (soccer), position of the players",Q871403,False,formation,36.5,[],frma,
685,,,False,,,,frmaTools,
686,,,False,,,,FScanR,
687,,,False,,,,FunChIP,
688,,,False,,,,funtooNorm,
689,,,False,,,,GA4GHclient,
690,,,False,,,,GA4GHshiny,
691,indisches Satellitensystem,Q1486567,False,GPS-aided geo-augmented navigation,44.5,[],gaga,
692,device used to make and display measurements,Q914462,False,gauge,50.0,[],gage,
693,informal briefing by the White House Press Secretary,Q25054044,False,Press gaggle,33.5,[],gaggle,
694,"art center in Havana, Cuba",Q5516963,False,Gaia,50.0,[],gaia,
695,,,False,,,,GAPGOM,
696,,,False,,,,GAprediction,
697,,Q65324527,False,Garfield,50.0,[],garfield,
698,gene of the species macaca nemestrina,Q24587585,False,GARS,50.0,[],GARS,
699,,,False,,,,GateFinder,
700,,,False,,,,GBScleanR,
701,,,False,,,,gcapc,
702,,,False,,,,gcatest,
703,,Q85749915,False,CRISPR/Cas Tools,39.5,[],gCrisprTools,
704,,,False,,,,gcrma,
705,,,False,,,,GCSConnection,
706,,,False,,,,GCSFilesystem,
707,,,False,,,,GCSscore,
708,,,False,,,,GDCRNATools,
709,,,False,,,,GDSArray,
710,,,False,,,,gdsfmt,
711,piece of mineral used to make jewelry,Q83437,False,gemstone,50.0,[],GEM,
712,,,False,,,,gemini,
713,,,False,,,,genbankr,
714,,,False,,,,geneAttribution,
715,protein-coding gene in the species Danio rerio,Q29763286,False,mre11a,20.0,[],GeneBreak,
716,,,False,,,,geneClassifiers,
717,a set of genes considered as highly characteristic of something,Q5531562,False,Gene signature,43.0,[],GeneExpressionSignature,
718,,,False,,,,genefilter,
719,,,False,,,,genefu,
720,laboratory to analyze GA responsive complex gene transcription,Q62395958,False,GA responsive complex laboratory,10.5,[],GeneGA,
721,,,False,,,,GeneGeneInteR,
722,,,False,,,,GeneMeta,
723,,,False,,,,GeneNetworkBuilder,
724,gene whose sequence partially overlaps the reading frame of another gene,Q7113764,False,overlapping gene,40.5,[],GeneOverlap,
725,,,False,,,,geneplast,
726,,,False,,,,geneplotter,
727,,,False,,,,geneRecommender,
728,,,False,,,,GeneRegionScan,
729,,,False,,,,geneRxCluster,
730,,,False,,,,GeneSelectMMD,
731,,,False,,,,GENESIS,
732,,,False,,,,GeneStructureTools,
733,,,False,,,,geNetClassifier,
734,,,False,,,,GeneticsPed,
735,protein-coding gene in the species Danio rerio,Q29780973,False,nfat5b,13.5,[],GeneTonic,
736,,,False,,,,geneXtendeR,
737,supernatural spirits integrated in Islamic beliefs,Q3465,False,jinn,45.5,[],GENIE3,
738,,,False,,,,genoCN,
739,,,False,,,,genomation,
740,,,False,,,,GenomeInfoDb,
741,,,False,,,,genomeIntervals,
742,DNA located in organelles called mitochondria,Q27075,False,mitochondrial DNA,35.5,[],genomes,
743,mappind of cDNA reads to a genome of reference,Q104708871,False,read alignment,29.0,[],GenomicAlignments,
744,,,False,,,,GenomicDataCommons,
745,,,False,,,,GenomicDistributions,
746,,,False,,,,GenomicFeatures,
747,,,False,,,,GenomicFiles,
748,"set of inter-connected reactions and interactions whose delineation and scope are used as a model for exploring and studying, describing and understanding the working of and relationships between biomolecules within a context",Q4915012,False,biological pathway,23.5,[],GenomicInteractions,
749,,,False,,,,GenomicOZone,
750,,,False,,,,GenomicRanges,
751,,,False,,,,GenomicScores,
752,,,False,,,,GenomicSuperSignature,
753,,,False,,,,GenomicTuples,
754,,,False,,,,genphen,
755,,,False,,,,GenProSeq,
756,,,False,,,,GenVisR,
757,,,False,,,,GeoDiff,
758,,,False,,,,GEOexplorer,
759,,,False,,,,GEOfastq,
760,,,False,,,,GEOmetadb,
761,,,False,,,,GeomxTools,
762,,,False,,,,GEOquery,
763,,,False,,,,GEOsubmission,
764,,,False,,,,gep2pep,
765,physical spacing of visible character glyphs of a text rendered on a support,Q1756646,False,letter-spacing,43.0,[],gespeR,
766,,,False,,,,getDEE2,
767,,Q3761540,False,Gevacolor,31.0,[],geva,
768,"nonvolatile memory chip comprising an array of floating-gate transistors individually programmed by an electronic device that can be erased, e.g. by exposure to strong UV light",Q378210,False,erasable programmable read-only memory,11.5,[],GEWIST,
769,,,False,,,,ggbio,
770,,,False,,,,ggcyto,
771,,,False,,,,ggmanh,
772,,,False,,,,ggmsa,
773,,,False,,,,GGPA,
774,,,False,,,,ggspavis,
775,,,False,,,,ggtree,
776,,,False,,,,ggtreeExtra,
777,,,False,,,,GIGSEA,
778,kitchen appliance in form of a wand which can be used to blend ingredients or puree food.,Q1934490,False,immersion blender,50.0,[],girafe,
779,,Q5564982,False,Gispaxlo'ots,29.5,[],GISPA,
780,open area within a woodland,Q4358873,False,glade,44.5,[],GLAD,
781,,,False,,,,GladiaTOX,
782,software,Q113017558,True,Glimma,100.0,R package,Glimma,Q73539779
783,,,False,,,,glmGamPoi,
784,,,False,,,,glmSparseNet,
785,,,False,,,,GlobalAncova,
786,test to identify genes,Q7068195,False,Nuclear run-on,16.5,[],globalSeq,
787,,,False,,,,globaltest,
788,,,False,,,,gmapR,
789,,,False,,,,GmicR,
790,,,False,,,,gmoviz,
791,registration of attribute valuse such as VLAN and multicast group membership,Q3327692,False,Multiple Registration Protocol,50.0,[],GMRP,
792,"well differentiated, low or intermediate grade tumor with neuroendocrine differentiation that arises from the stomach",Q55785221,False,"gastric neuroendocrine tumor, well differentiated, low or intermediate grade",44.5,[],GNET2,
793,,,False,,,,GOexpress,
794,,,False,,,,GOfuncR,
795,Action cam,Q45422180,False,GoPro Hero 4,31.0,[],GOpro,
796,,,False,,,,goProfiles,
797,,,False,,,,GOSemSim,
798,,,False,,,,goseq,
799,,,False,,,,GOSim,
800,,,False,,,,goSTAG,
801,,,False,,,,GOstats,
802,,,False,,,,GOsummaries,
803,typeface classification for letterforms without serifs,Q864011,False,sans-serif,50.0,[],GOTHiC,
804,inspection tool used to check a workpiece against its allowed tolerances,Q256690,False,Go/no go gauge,27.5,[],goTools,
805,,Q17036177,False,AN/GPA-35,37.5,[],GPA,
806,,,False,,,,gpart,
807,food grain,Q259438,False,millet,22.0,[],gpls,
808,,,False,,,,gprege,
809,,,False,,,,gpuMagic,
810,"common type of intrusive, felsic, igneous rock with grained texture",Q41177,False,granite,46.0,[],GRaNIE,
811,Maschine zur Herstellung von Granulat,Q1543242,False,Granulator,50.0,[],granulator,
812,the fruit,Q10978,False,grape,45.5,[],graper,
813,graphical representation of data,Q28923,False,chart,50.0,[],graph,
814,mathematical structure; representation of a set of objects where some pairs of the objects are connected by links,Q141488,False,graph,41.5,[],GraphAT,
815,two-dimensional crystalline structure of carbon,Q169917,False,graphene,40.0,[],graphite,
816,,,False,,,,GraphPAC,
817,,,False,,,,GRENITS,
818,,,False,,,,GreyListChIP,
819,,,False,,,,GRmetrics,
820,,,False,,,,groHMM,
821,,,False,,,,GRridge,
822,,,False,,,,GSALightning,
823,,,False,,,,GSAR,
824,,Q9268749,False,Glob-Soft Calc,40.0,[],GSCA,
825,,,False,,,,gscreend,
826,,,False,,,,GSEABase,
827,,,False,,,,GSEABenchmarkeR,
828,,,False,,,,GSEAlm,
829,,,False,,,,GSEAmining,
830,,,False,,,,gsean,
831,,,False,,,,GSgalgoR,
832,,,False,,,,GSReg,
833,,,False,,,,GSRI,
834,,,False,,,,GSVA,
835,,,False,,,,gtrellis,
836,,,False,,,,GUIDEseq,
837,,Q80973978,False,Guitar,50.0,[],Guitar,
838,,,False,,,,Gviz,
839,,,False,,,,GWAS.BAYES,
840,,,False,,,,gwascat,
841,,,False,,,,GWASTools,
842,,,False,,,,gwasurvivr,
843,,,False,,,,GWENA,
844,,,False,,,,h5vc,
845,,,False,,,,hapFabia,
846,,,False,,,,Harman,
847,,,False,,,,Harshlight,
848,method of cluster analysis which seeks to build a hierarchy of clusters,Q1277447,False,hierarchical clustering,50.0,[],hca,
849,,,False,,,,HDF5Array,
850,,,False,,,,HDTD,
851,finite sequence of colours,Q105858480,False,colour progression,30.5,[],heatmaps,
852,,,False,,,,Heatplus,
853,,,False,,,,HelloRanges,
854,page of a Wikimedia wiki in the Help namespace,Q56005592,False,Wikimedia help page,50.0,[],HELP,
855,garment finishing method,Q15069182,False,hem,50.0,[],HEM,
856,United States Army Ordnance Corps rocket program,Q5741357,False,Hermes,50.0,[],hermes,
857,,Q5750087,False,HgcE RNA,27.5,[],HGC,
858,,,False,,,,hiAnnotator,
859,類猿人型の未確認動物,Q3273047,False,Hibagon,41.5,[],HIBAG,
860,,,False,,,,HiCBricks,
861,,,False,,,,HiCcompare,
862,,,False,,,,HiCDCPlus,
863,,,False,,,,hierGWAS,
864,,,False,,,,hierinf,
865,R package,Q109500261,True,HilbertCurve,100.0,R package,HilbertCurve,Q73539779
866,,,False,,,,HilbertVis,
867,,,False,,,,HilbertVisGUI,
868,,,False,,,,HiLDA,
869,,,False,,,,hipathia,
870,,Q11330161,False,Hippo,50.0,[],HIPPO,
871,,,False,,,,hiReadsProcessor,
872,,,False,,,,HIREewas,
873,nœud fait en entrelaçant la corde autour d'un objet,Q17586598,False,hitch knot,28.5,[],HiTC,
874,,,False,,,,hmdbQuery,
875,,,False,,,,HMMcopy,
876,,,False,,,,hopach,
877,,,False,,,,HPAanalyze,
878,,,False,,,,hpar,
879,,,False,,,,HPAStainR,
880,"HPI Check is a vehicle history check service provided exclusively by HPI in the UK. The HPI Check produces a report that provides information about a vehicle's history, mainly if it has outstanding finance, or if it is written off, stolen or clocked.",Q21643355,False,HPI Check,43.0,[],HPiP,
881,,,False,,,,HTqPCR,
882,,,False,,,,HTSeqGenie,
883,,,False,,,,HTSFilter,
884,,Q10646019,False,Pub is the hub,30.0,[],HubPub,
885,,,False,,,,HumanTranscriptomeCompendium,
886,acoustic guitar,Q377675,False,Gibson Hummingbird,50.0,[],hummingbird,
887,,,False,,,,HybridMTest,
888,Intel's proprietary simultaneous multithreading implementation on x86 microprocessors,Q830955,False,Hyper-threading,35.5,[],hypeR,
889,,,False,,,,hyperdraw,
890,a graph in which generalized edges may connect more than two nodes,Q840247,False,hypergraph,50.0,[],hypergraph,
891,,,False,,,,iASeq,
892,,,False,,,,iasva,
893,,,False,,,,iBBiG,
894,deutscher Baumaschinenkonzern mit Sitz in Mainz,Q1653054,False,IBH-Holding,21.5,[],ibh,
895,tool for digging,Q216642,False,spade,22.0,[],iBMQ,
896,"state insurance company in NSW, Australia",Q104847259,False,Icare,50.0,[],iCARE,
897,,,False,,,,Icens,
898,form of cold tea,Q348958,False,iced tea,50.0,[],icetea,
899,method of payment,Q80042,False,cheque,45.5,[],iCheck,
900,"electronic circuit formed on a small, flat piece of semiconductor material",Q80831,False,integrated circuit,44.5,[],iChip,
901,,,False,,,,iClusterPlus,
902,Traditional Jewish Iraqi sandwich,Q2910847,False,Sabich,20.0,[],iCNV,
903,type of malicious software that threatens to publish the victim's data or perpetually block access to it unless a ransom is paid,Q926331,False,ransomware,18.0,[],iCOBRA,
904,additive subgroup of a ring closed under multiplcation by arbitrary ring element,Q44649,False,ideal,50.0,[],ideal,
905,,,False,,,,IdeoViz,
906,display of chromosome in a cell following certain configuration,Q189967,False,karyotype,50.0,[],idiogram,
907,,,False,,,,idpr,
908,,,False,,,,idr2d,
909,,Q56404397,False,IGC,50.0,[],iGC,
910,,,False,,,,igvR,
911,,Q12613230,False,Ihwa Mural Village,14.5,[],IHW,
912,,,False,,,,illuminaio,
913,,,False,,,,ILoReg,
914,,,False,,,,imageHTS,
915,building usually intended for living in,Q3947,False,house,37.5,[],IMAS,
916,,,False,,,,imcRtools,
917,,,False,,,,IMMAN,
918,,,False,,,,ImmuneSpaceR,
919,,,False,,,,immunoClust,
920,,,False,,,,immunotation,
921,,Q109546524,False,Impute.me,40.0,[],impute,
922,"office in W. Sixth St., Austin",Q85769227,False,Indeed Tower,33.5,[],INDEED,
923,,,False,,,,infercnv,
924,,,False,,,,infinityFlow,
925,,,False,,,,Informeasure,
926,state of harmony characterized by lack of violent conflict and freedom from fear of violence,Q454,False,peace,37.5,[],InPAS,
927,,,False,,,,INPower,
928,selection control mechanism in programming languages,Q838092,False,switch statement,50.0,[],INSPEcT,
929,activity of making one's living or making money by producing or buying and selling products,Q4830453,False,business,27.5,[],InTAD,
930,,,False,,,,intansv,
931,,,False,,,,interacCircos,
932,whole set of molecular interactions in a particular cell,Q841382,False,interactome,40.0,[],InteractionSet,
933,,,False,,,,InteractiveComplexHeatmap,
934,large interactive display,Q723563,False,interactive whiteboard,34.0,[],interactiveDisplay,
935,,,False,,,,interactiveDisplayBase,
936,,,False,,,,InterCellar,
937,fee paid by the debtor to the creditor for temporarily borrowed capital,Q170924,False,interest,50.0,[],IntEREst,
938,,,False,,,,InterMineR,
939,,,False,,,,IntramiRExploreR,
940,reordering of genes in a DNA-sequence,Q1070877,False,Chromosomal inversion,50.0,[],inveRsion,
941,radiation that carries enough energy to liberate electrons from atoms or molecules,Q186161,False,ionizing radiation,46.5,[],IONiseR,
942,international square dance event,Q1666809,False,"International Plus, Advanced & Challenge Square Dance Convention",50.0,[],iPAC,
943,exchange-traded notes,Q17033964,False,iPath,50.0,[],iPath,
944,,,False,,,,ipdDb,
945,"ball bread from Tuamotu, French Polynesia",Q2804868,False,Faraoa 'ipo,50.0,[],IPO,
946,citrus fruit of the orange tree,Q13191,False,orange,46.0,[],IRanges,
947,,,False,,,,IRISFGM,
948,,,False,,,,ISAnalytics,
949,Security bug,Q30681597,False,iSeeYou,36.5,[],iSEE,
950,,,False,,,,iSEEu,
951,straight line segment that passes through the center of a circle,Q37221,False,diameter,25.0,[],iSeq,
952,class of nuclide,Q516369,False,isobar,50.0,[],isobar,
953,,,False,,,,IsoCorrectoR,
954,,,False,,,,IsoCorrectoRGUI,
955,,,False,,,,IsoformSwitchAnalyzeR,
956,,,False,,,,IsoGeneGUI,
957,an on-line isotope separator facility at CERN,Q7090829,False,Isotope Separator On Line DEvice,50.0,[],ISoLDE,
958,,,False,,,,isomiRs,
959,Font style characterised by cursive typeface and slanted design,Q344098,False,italic,50.0,[],ITALICS,
960,,,False,,,,iterativeBMA,
961,,,False,,,,iterativeBMAsurv,
962,,,False,,,,iteremoval,
963,form of consumption tax,Q128635,False,value-added tax,43.0,[],IVAS,
964,,,False,,,,ivygapSE,
965,,,False,,,,IWTomics,
966,,,False,,,,karyoploteR,
967,,,False,,,,KBoost,
968,,,False,,,,KCsmart,
969,"a quick service food establishment specialising in various fast food and street food dishes, primarily Döner kebab and related sandwiches",Q6382371,False,kebab shop,37.5,[],kebabs,
970,,,False,,,,KEGGgraph,
971,,,False,,,,KEGGlincs,
972,,,False,,,,keggorthology,
973,,,False,,,,KEGGREST,
974,,,False,,,,KinSwingR,
975,"touch with the lips, usually to express love or affection, or as a greeting",Q7307,False,kiss,41.5,[],kissDE,
976,,,False,,,,KnowSeq,
977,,,False,,,,lapmix,
978,,Q4388360,False,Load Bearing Equipment,50.0,[],LBE,
979,,,False,,,,ldblock,
980,government agency responsible for the enforcement of the laws,Q732717,False,law enforcement agency,50.0,[],LEA,
981,,,False,,,,LedPred,
982,Norwegian flatbread,Q888720,False,lefse,50.0,[],lefser,
983,system to get the crew to safety if a rocket launch fails,Q907773,False,launch escape system,50.0,[],les,
984,,,False,,,,levi,
985,,Q6493068,False,Laser flash analysis,50.0,[],lfa,
986,Bioconductor package,Q112236343,True,limma,100.0,software,limma,Q7397
987,,,False,,,,limmaGUI,
988,,,False,,,,LineagePulse,
989,,,False,,,,lineagespot,
990,family of digital video interfaces,Q1756325,False,Serial digital interface,26.5,[],LinkHD,
991,,,False,,,,Linnorm,
992,,,False,,,,LinTInd,
993,,,False,,,,lionessR,
994,Substances that alter the metabolism of lipids,Q50430353,False,lipid regulating agent,22.0,[],lipidr,
995,,Q87372262,False,"value obtained by liquid phase measurements, which may have large error because of association effect",11.5,[],LiquidAssociation,
996,,,False,,,,lisaClust,
997,,,False,,,,lmdme,
998,,,False,,,,LOBSTAHS,
999,,,False,,,,loci2path,
1000,,,False,,,,logicFS,
1001,,,False,,,,logitT,
1002,hardware description language,Q6668799,False,Lola,50.0,[],LOLA,
1003,,,False,,,,LoomExperiment,
1004,,,False,,,,LowMACA,
1005,,Q2067218,False,Language Proficiency Exam,50.0,[],LPE,
1006,,,False,,,,LPEadj,
1007,"Linear lichen planus (LLP), also referred to as Blaschkoid LP, is a rare type of lichen planus characterized by a linear distribution of lichenoid lesions along the lines of Blaschko, which are embryonic pathways of skin development",Q6553464,False,Linear lichen planus,25.0,[],lpNet,
1008,,,False,,,,lpsymphony,
1009,,,False,,,,LRBaseDbi,
1010,,,False,,,,LRcell,
1011,precipitation in the form of ice crystal flakes,Q7561,False,snow,50.0,[],lumi,
1012,,,False,,,,LymphoSeq,
1013,U.S. lamp manufacturers,Q5312377,False,Duffner and Kimberly,4.5,[],M3C,
1014,gait abnormality where the human foot cannot be dorsiflexed normally,Q1942814,False,foot drop,40.0,[],M3Drop,
1015,,,False,,,,m6Aboost,
1016,,,False,,,,maanova,
1017,,,False,,,,Maaslin2,
1018,dry pasta variety,Q20019,False,macaroni,50.0,[],Macarron,
1019,,,False,,,,macat,
1020,,,False,,,,maCorrPlot,
1021,,,False,,,,MACPET,
1022,,,False,,,,MACSQuantifyR,
1023,,,False,,,,MACSr,
1024,"inexpensive bag made of hessian, or polypropylene",Q6675561,False,gunny sack,40.0,[],made4,
1025,,,False,,,,MADSEQ,
1026,,,False,,,,maftools,
1027,"pueblo que constituye el grupo étnico marata de Maharashtra, India",Q6729688,False,Magar,50.0,[],MAGAR,
1028,,,False,,,,MAGeCKFlute,
1029,written message from one to another,Q133492,False,letter,43.0,[],MAI,
1030,,,False,,,,maigesPack,
1031,,,False,,,,MAIT,
1032,,,False,,,,makecdfenv,
1033,historical manor estate in the Baltic area,Q2066754,False,manor,50.0,[],MANOR,
1034,,,False,,,,MantelCorr,
1035,,,False,,,,mAPKL,
1036,,,False,,,,maPredictDSC,
1037,a digital map service provider,Q6754206,False,Mapscape BV,50.0,[],mapscape,
1038,,,False,,,,marr,
1039,,,False,,,,marray,
1040,molecular dynamics force field in chemistry,Q6714488,False,MARTINI,50.0,[],martini,
1041,type of maser,Q1440593,False,hydrogen maser,26.5,[],maser,
1042,,,False,,,,maSigPro,
1043,,Q11309896,False,ジャニーズJr.解散グループ (1990年以降),25.0,[],maskBAD,
1044,,,False,,,,MassArray,
1045,,Q86685089,False,Massira,46.0,[],massiR,
1046,,,False,,,,MassSpecWavelet,
1047,"in India, Pakistan, and Iran, a type of religious intoxication",Q41250,False,Mast-Allah,50.0,[],MAST,
1048,telecommunications device,Q568420,False,antenna tuner,50.0,[],matchBox,
1049,Mathematics concept,Q18207337,False,Generic matrix ring,24.0,[],MatrixGenerics,
1050,,,False,,,,MatrixQCvis,
1051,,,False,,,,MatrixRider,
1052,"substance that has rest mass and volume, or several other definitions",Q35758,False,matter,50.0,[],matter,
1053,,,False,,,,MBAmethyl,
1054,,,False,,,,MBASED,
1055,,,False,,,,MBCB,
1056,,,False,,,,MBECS,
1057,,,False,,,,mbkmeans,
1058,,,False,,,,mbOmic,
1059,,,False,,,,mBPCR,
1060,,,False,,,,MBQN,
1061,,,False,,,,MBttest,
1062,,,False,,,,MCbiclust,
1063,,,False,,,,mCSEA,
1064,model for decision making under uncertainty,Q176789,False,Markov decision process,50.0,[],mdp,
1065,military unit,Q2883717,False,Bar-Giora,0.0,[],mdqc,
1066,company providing ridesharing service,Q16985745,False,ridesharing company,14.5,[],MDTS,
1067,"grain separated from chaff, or coarsely ground in a grist mill",Q362409,False,grist,50.0,[],MEAL,
1068,,,False,,,,MeasurementError.cor,
1069,animal flesh eaten as food,Q10990,False,meat,50.0,[],MEAT,
1070,"movable objects used to equip households, offices, or shops for purposes such as storage, seating, sleeping",Q14745,False,furniture,50.0,[],MEB,
1071,,,False,,,,MEDIPS,
1072,,Q10579269,False,Medmera,41.5,[],MEDME,
1073,,,False,,,,megadepth,
1074,,,False,,,,MEIGOR,
1075,ESA life support system development project,Q1582537,False,MELiSSA,50.0,[],Melissa,
1076,concept that spreads from person to person via the Internet,Q2927074,False,Internet meme,50.0,[],memes,
1077,,,False,,,,Mergeomics,
1078,,,False,,,,MeSHDbi,
1079,type of computer network using a mesh topology,Q25552104,False,mesh networking,40.0,[],meshes,
1080,traditional event among the Uygur people in Xinjiang Uygur Autonomous Region in China – inscribed in the List of Intangible Heritage in Need of Urgent Safeguarding in 2010,Q2578021,False,Meshrep,41.5,[],meshr,
1081,,,False,,,,MesKit,
1082,criminal organisation,Q3752393,False,Messina Brothers,30.5,[],messina,
1083,biological metric,Q623293,False,basal metabolism,31.0,[],Metab,
1084,,,False,,,,metabCombiner,
1085,,,False,,,,MetaboAnnotation,
1086,,,False,,,,MetaboCoreUtils,
